eps,size,balance,noise,cost,timespan,better,base_cost,base_timespan
3.0,80,0.5,0.6,584.15,42.456,False,448.5,32.48
3.0,80,0.9,0.0,274.01,19.193,True,350.0,25.0
3.0,80,0.9,0.15,296.82,21.229,True,361.27,25.839
3.0,80,0.9,0.3,367.37,25.947,True,375.74,26.638
3.0,80,0.9,0.45,427.98,29.972,False,388.9,27.285
3.0,80,0.9,0.6,505.04,35.054,False,402.5,28.0
3.0,100,0.1,0.0,384.63,29.2,True,490.0,36.0
3.0,100,0.1,0.15,435.55,31.908,True,506.71,37.213
3.0,100,0.1,0.3,499.74,35.765,True,526.89,38.288
3.0,100,0.1,0.45,644.36,46.886,False,545.58,39.439
3.0,100,0.1,0.6,772.32,54.202,False,563.5,40.32
3.0,100,0.5,0.0,357.28,24.788,True,450.0,32.0
3.0,100,0.5,0.15,395.22,27.841,True,463.84,33.02
3.0,100,0.5,0.3,482.29,33.741,True,482.53,33.959
3.0,100,0.5,0.45,594.25,41.799,False,497.59,34.954
3.0,100,0.5,0.6,668.29,46.944,False,517.5,35.84
3.0,100,0.9,0.0,325.96,22.262,True,410.0,28.0
3.0,100,0.9,0.15,355.29,24.11,True,422.54,29.01
3.0,100,0.9,0.3,436.57,29.77,True,439.43,29.925
3.0,100,0.9,0.45,498.14,33.495,False,455.07,30.667
3.0,100,0.9,0.6,578.5,38.272,False,471.5,31.361
